,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,11595,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19719809.0,19719809.0,False,,1,,,,2024-07-10T16:34:00.000Z,57953.23744967137,27061048309.985653,-4.0664,0.13949841,0.63561456,-4.05901786,-16.94279797,-5.35200975,-16.96941817,1142826773439.1665,53.3764,1217017986443.1,,2024-07-10T16:34:00.000Z,,,,,,2024-07-10 10:35:52.491370
1,1027,Ethereum,ETH,ethereum,9126,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120207304.75118561,120207304.75118561,True,,2,,,,2024-07-10T16:33:00.000Z,3140.990346931925,14535081006.520756,-10.1065,0.98650892,2.25492459,-5.18349777,-14.76640546,7.28159,-10.17196842,377569983854.17816,17.6346,377569983854.18,,2024-07-10T16:33:00.000Z,,,,,,2024-07-10 10:35:52.491370
2,825,Tether USDt,USDT,tether,91272,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,112259808785.14278,116076856616.98984,True,,3,,,,2024-07-10T16:33:00.000Z,1.0000761442640942,49367588648.52212,-9.2864,0.0305805,0.00093676,0.14456126,0.0364412,0.03844096,0.00954997,112268356725.67007,5.2436,116085695203.82,,2024-07-10T16:33:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-07-10 10:35:52.491370
3,1839,BNB,BNB,bnb,2190,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,147582525.33867368,147582525.33867368,False,,4,,,,2024-07-10T16:33:00.000Z,526.9607736314123,1623246782.3368003,0.0012,0.21315186,1.7788814,-5.64366068,-18.60883614,-10.95880557,-12.13003002,77770201726.94499,3.6323,77770201726.94,,2024-07-10T16:33:00.000Z,,,,,,2024-07-10 10:35:52.491370
4,5426,Solana,SOL,solana,699,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,463673901.8021233,579834714.0253884,True,,5,,,,2024-07-10T16:33:00.000Z,141.70738851339678,2144820470.4046,-17.6547,0.49532577,-0.081531,-0.4815399,-12.11669369,-3.11317202,-17.98242729,65706017746.196075,3.0688,82166863093.95,,2024-07-10T16:33:00.000Z,,,,,,2024-07-10 10:35:52.491370
5,3408,USDC,USDC,usd-coin,20895,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,33974674743.981728,33974674743.981728,False,,6,,,,2024-07-10T16:33:00.000Z,1.0000945868966695,5437318137.481052,-4.2947,0.0125737,0.00773534,0.0122279,0.01907664,0.00754003,-0.01129983,33977888303.031116,1.587,33977888303.03,,2024-07-10T16:33:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-07-10 10:35:52.491370
6,52,XRP,XRP,xrp,1351,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,55723063839.0,99987471767.0,False,,7,,,,2024-07-10T16:34:00.000Z,0.4333449054638243,969444886.7986296,-6.1443,0.23198349,0.20139818,-7.42948708,-13.80238601,-14.53449197,-28.36836332,24147305831.466103,1.1278,43334490546.38,,2024-07-10T16:34:00.000Z,,,,,,2024-07-10 10:35:52.491370
7,11419,Toncoin,TON,toncoin,454,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2506216414.7805457,5108804699.005074,True,,8,3414166606.0,24892890848.075054,,2024-07-10T16:33:00.000Z,7.291059201483812,230472142.30992442,-11.6618,0.33923104,0.20484702,-7.32688792,1.53937756,6.58659085,0.92423571,18272972251.895466,0.8535,37248597509.26,,2024-07-10T16:33:00.000Z,,,,,,2024-07-10 10:35:52.491370
8,74,Dogecoin,DOGE,dogecoin,1021,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,145060196383.7052,145060196383.7052,True,,9,,,,2024-07-10T16:34:00.000Z,0.11013963748411879,556610530.487647,-9.0142,0.61835849,2.0197181,-7.46094506,-24.51793642,-24.0727976,-42.47025844,15976877443.07637,0.7462,15976877443.08,,2024-07-10T16:34:00.000Z,,,,,,2024-07-10 10:35:52.491370
9,2010,Cardano,ADA,cardano,1210,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35872092219.259,37034995407.59,False,,10,,,,2024-07-10T16:33:00.000Z,0.386508748387785,259853680.87137818,-11.8042,0.63254987,3.16023366,-5.56942239,-13.03300977,-12.89835372,-33.2468232,13864877465.716997,0.6476,17392893677.45,,2024-07-10T16:33:00.000Z,,,,,,2024-07-10 10:35:52.491370
